equation,solution_ln,base_lhs,base_rhs,solution_log10,solution_log_a,solution_log_b
e^{2x - 1} = 10^{x + 1},\frac{\ln \left(10\right)+1}{2-\ln \left(10\right)},e,10,\frac{\frac{\log\left(10\right)}{\log\left(e\right)}+1}{2-\frac{\log\left(10\right)}{\log\left(e\right)}},\frac{\frac{\log\left(10\right)}{\log\left(e\right)}+1}{2-\frac{\log\left(10\right)}{\log\left(e\right)}},\frac{\frac{\log\left(10\right)}{\log\left(10\right)}+1}{2-\frac{\log\left(10\right)}{\log\left(10\right)}}
2^{x + 3} = 5^{2x - 1},\frac{\ln \left(40\right)}{2\ln \left(5\right)-\ln \left(2\right)},2,5,\frac{\frac{\log\left(40\right)}{\log\left(e\right)}}{2\frac{\log\left(5\right)}{\log\left(e\right)}-\frac{\log\left(2\right)}{\log\left(e\right)}},\frac{\frac{\log\left(40\right)}{\log\left(2\right)}}{2\frac{\log\left(5\right)}{\log\left(2\right)}-\frac{\log\left(2\right)}{\log\left(2\right)}},\frac{\frac{\log\left(40\right)}{\log\left(5\right)}}{2\frac{\log\left(5\right)}{\log\left(5\right)}-\frac{\log\left(2\right)}{\log\left(5\right)}}
10^{x - 4} = 3^{2x + 2},\frac{2\ln \left(3\right)+4\ln \left(10\right)}{\ln \left(10\right)-2\ln \left(3\right)},10,3,\frac{2\frac{\log\left(3\right)}{\log\left(e\right)}+4\frac{\log\left(10\right)}{\log\left(e\right)}}{\frac{\log\left(10\right)}{\log\left(e\right)}-2\frac{\log\left(3\right)}{\log\left(e\right)}},\frac{2\frac{\log\left(3\right)}{\log\left(10\right)}+4\frac{\log\left(10\right)}{\log\left(10\right)}}{\frac{\log\left(10\right)}{\log\left(10\right)}-2\frac{\log\left(3\right)}{\log\left(10\right)}},\frac{2\frac{\log\left(3\right)}{\log\left(3\right)}+4\frac{\log\left(10\right)}{\log\left(3\right)}}{\frac{\log\left(10\right)}{\log\left(3\right)}-2\frac{\log\left(3\right)}{\log\left(3\right)}}
e^{x + 2} = 2^{2x - 1},\frac{\ln \left(2\right)+2}{2\ln \left(2\right)-1},e,2,\frac{\frac{\log\left(2\right)}{\log\left(e\right)}+2}{2\frac{\log\left(2\right)}{\log\left(e\right)}-1},\frac{\frac{\log\left(2\right)}{\log\left(e\right)}+2}{2\frac{\log\left(2\right)}{\log\left(e\right)}-1},\frac{\frac{\log\left(2\right)}{\log\left(2\right)}+2}{2\frac{\log\left(2\right)}{\log\left(2\right)}-1}
3^{x - 1} = 10^{2x + 3},\frac{\ln \left(3000\right)}{\ln \left(3\right)-2\ln \left(10\right)},3,10,\frac{\frac{\log\left(3000\right)}{\log\left(e\right)}}{\frac{\log\left(3\right)}{\log\left(e\right)}-2\frac{\log\left(10\right)}{\log\left(e\right)}},\frac{\frac{\log\left(3000\right)}{\log\left(3\right)}}{\frac{\log\left(3\right)}{\log\left(3\right)}-2\frac{\log\left(10\right)}{\log\left(3\right)}},\frac{\frac{\log\left(3000\right)}{\log\left(10\right)}}{\frac{\log\left(3\right)}{\log\left(10\right)}-2\frac{\log\left(10\right)}{\log\left(10\right)}}
4^{2x + 1} = e^{x - 2},\frac{-2-2\ln \left(2\right)}{4\ln \left(2\right)-1},4,e,\frac{-2-2\frac{\log\left(2\right)}{\log\left(e\right)}}{4\frac{\log\left(2\right)}{\log\left(e\right)}-1},\frac{-2-2\frac{\log\left(2\right)}{\log\left(4\right)}}{4\frac{\log\left(2\right)}{\log\left(4\right)}-1},\frac{-2-2\frac{\log\left(2\right)}{\log\left(e\right)}}{4\frac{\log\left(2\right)}{\log\left(e\right)}-1}
e^{3x - 1} = 5^{x + 4},\frac{4\ln \left(5\right)+1}{3-\ln \left(5\right)},e,5,\frac{4\frac{\log\left(5\right)}{\log\left(e\right)}+1}{3-\frac{\log\left(5\right)}{\log\left(e\right)}},\frac{4\frac{\log\left(5\right)}{\log\left(e\right)}+1}{3-\frac{\log\left(5\right)}{\log\left(e\right)}},\frac{4\frac{\log\left(5\right)}{\log\left(5\right)}+1}{3-\frac{\log\left(5\right)}{\log\left(5\right)}}
2^{x + 2} = 10^{x - 3},\frac{\ln \left(4000\right)}{\ln \left(5\right)},2,10,\frac{\frac{\log\left(4000\right)}{\log\left(e\right)}}{\frac{\log\left(5\right)}{\log\left(e\right)}},\frac{\frac{\log\left(4000\right)}{\log\left(2\right)}}{\frac{\log\left(5\right)}{\log\left(2\right)}},\frac{\frac{\log\left(4000\right)}{\log\left(10\right)}}{\frac{\log\left(5\right)}{\log\left(10\right)}}
5^{x - 2} = e^{2x + 1},\frac{1+2\ln \left(5\right)}{\ln \left(5\right)-2},5,e,\frac{1+2\frac{\log\left(5\right)}{\log\left(e\right)}}{\frac{\log\left(5\right)}{\log\left(e\right)}-2},\frac{1+2\frac{\log\left(5\right)}{\log\left(5\right)}}{\frac{\log\left(5\right)}{\log\left(5\right)}-2},\frac{1+2\frac{\log\left(5\right)}{\log\left(e\right)}}{\frac{\log\left(5\right)}{\log\left(e\right)}-2}
10^{2x + 1} = 3^{x - 4},-\frac{\ln \left(810\right)}{2\ln \left(10\right)-\ln \left(3\right)},10,3,-\frac{\frac{\log\left(810\right)}{\log\left(e\right)}}{2\frac{\log\left(10\right)}{\log\left(e\right)}-\frac{\log\left(3\right)}{\log\left(e\right)}},-\frac{\frac{\log\left(810\right)}{\log\left(10\right)}}{2\frac{\log\left(10\right)}{\log\left(10\right)}-\frac{\log\left(3\right)}{\log\left(10\right)}},-\frac{\frac{\log\left(810\right)}{\log\left(3\right)}}{2\frac{\log\left(10\right)}{\log\left(3\right)}-\frac{\log\left(3\right)}{\log\left(3\right)}}
e^{x + 1} = 4^{2x - 3},\frac{6\ln \left(2\right)+1}{4\ln \left(2\right)-1},e,4,\frac{6\frac{\log\left(2\right)}{\log\left(e\right)}+1}{4\frac{\log\left(2\right)}{\log\left(e\right)}-1},\frac{6\frac{\log\left(2\right)}{\log\left(e\right)}+1}{4\frac{\log\left(2\right)}{\log\left(e\right)}-1},\frac{6\frac{\log\left(2\right)}{\log\left(4\right)}+1}{4\frac{\log\left(2\right)}{\log\left(4\right)}-1}
3^{x - 2} = 10^{x + 5},\frac{5\ln \left(10\right)+2\ln \left(3\right)}{\ln \left(3\right)-\ln \left(10\right)},3,10,\frac{5\frac{\log\left(10\right)}{\log\left(e\right)}+2\frac{\log\left(3\right)}{\log\left(e\right)}}{\frac{\log\left(3\right)}{\log\left(e\right)}-\frac{\log\left(10\right)}{\log\left(e\right)}},\frac{5\frac{\log\left(10\right)}{\log\left(3\right)}+2\frac{\log\left(3\right)}{\log\left(3\right)}}{\frac{\log\left(3\right)}{\log\left(3\right)}-\frac{\log\left(10\right)}{\log\left(3\right)}},\frac{5\frac{\log\left(10\right)}{\log\left(10\right)}+2\frac{\log\left(3\right)}{\log\left(10\right)}}{\frac{\log\left(3\right)}{\log\left(10\right)}-\frac{\log\left(10\right)}{\log\left(10\right)}}
